section,metric,value
OVERALL,RunTime(ms),35960
OVERALL,Throughput(ops/sec),2224.6941045606227
TOTAL_GC_TIME,Time(ms),306
CLEANUP,Operations,16
CLEANUP,AverageLatency(us),993.1875
CLEANUP,MinLatency(us),4
CLEANUP,MaxLatency(us),15799
CLEANUP,95thPercentileLatency(us),17
CLEANUP,99thPercentileLatency(us),15799
INSERT,Operations,80000
INSERT,AverageLatency(us),6663.9668125
INSERT,MinLatency(us),456
INSERT,MaxLatency(us),402175
INSERT,95thPercentileLatency(us),16639
INSERT,99thPercentileLatency(us),26751
INSERT,Return=OK,80000
